0015822,BED,2000,Estetické a etické vo výchove inžinierov 21. storočia, - 2000.,"[HREHOVÁ, Daniela (100%)]",4,"['2009  [4] NAVRÁTILOVÁ, Daniela K otázke pojmu inžinierskej etiky In: K otázkam rozvoja osobnosti vysokoškoláka v procese humanizácie technologického vzdelávania : Zborník recenzovaných vedeckých prác S. 11 ISBN: 978-80-553-0225-6', '2013  [4] PRZYBYSZ, Jerzy Potrzeba wprowadzenia etyki do szkół In: Možnosti kultivácie osobnosti v technologickom veku : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 211-217 ISBN: 978-80-553-1344-3', '2013  [4] ŽIARAN, Pavel The moral education in higher education In: Možnosti kultivácie osobnosti v technologickom veku : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 271-275 ISBN: 978-80-553-1344-3', '2008  [4] HREHA, A.: Rozmanitý register a podoby telesného pohybu. In: Telesná výchova a šport, zdravie a pohyb: Zborník referátov z 2. ročníka vedecko-pedagogickej konferencie učiteľov telesnej výchovy. Prešov: MPC, 2008. S. 188-193. ISBN 978-80-8045-515-6.']"
36912,BED,2000,Ako ďalej pri výučbe psychológie na technických univerzitách, - 2000.,"[ZVARIKOVÁ, Mária]",0,[]
36915,BED,2000,"Pracovné prostredie, osobnosť učiteľa a humanizácia =", - 2000.,"[ZVARIKOVÁ, Mária]",0,[]
0012455,BED,2001,Informačné a riadiace toky v sieťovo koncipovanej výrobnej organizácii, - 2001.,"[LAVRIN, Anton - ŽELEZNÍK, Ondrej]",0,[]
0014004,BED,2001,Formovanie princípov kvality vzdelávania a vzdelávania ku kvalite na vysokých školách, - 2001.,"[FLOREKOVÁ, Ľubica - LAVRIN, Anton]",0,[]
0014371,BED,2001,Emocionálna inteligencia - jej hodnota v podnikovom vzdelávaní 1, - 2001.,"[ZVARIKOVÁ, Mária - SOROKOVÁ, Tatiana]",0,[]
0014373,BED,2001,Emocionálna inteligencia - jej hodnota v podnikovom vzdelávaní 2, - 2001.,"[ZVARIKOVÁ, Mária - SOROKOVÁ, Tatiana]",0,[]
25376,BED,2001,Humanization of technical education, - 2001.,"[PEŠEKOVÁ, Mária - DŽUPKOVÁ, Helena - KOTEK, Tichomír]",0,[]
36903,BED,2001,Technical university students and their results in ISTm, - 2001.,"[ZVARIKOVÁ, Mária]",0,[]
36910,BED,2001,Emocionálna inteligencia ako východisko koncipovania výučby poznatkom psychológie na technických univerzitách, - 2001.,"[ZVARIKOVÁ, Mária]",0,[]
36914,BED,2001,Humanizácia vzdelávania - niektoré psychologické a pedagogické aspekty =, - 2001.,"[ZVARIKOVÁ, Mária]",0,[]
0016117,BED,2002,Anglicizmy v profesionálnej komunikácii v oblasti informačných technológií, - 2002.,"[NEMČOKOVÁ, Viera - OROSZOVÁ, Daniela]",0,[]
0016154,BED,2002,Internet a možnosti jeho využitia vo výučbe angličtiny pre špecifické účely, - 2002.,"[KNUTOVÁ, Gabriela]",0,[]
19208,BED,2002,Farba ako dynamizujúci faktor výkonnosti jedinca v pracovnom prostredí, - 2002.,"[SOROKOVÁ, Tatiana (50%) - ZVARIKOVÁ, Mária (50%)]",0,[]
19215,BED,2002,Farba ako dynamizujúci faktor výkonnosti jedinca v pracovnom prostredí, - 2002.,"[ZVARIKOVÁ, Mária (50%) - SOROKOVÁ, Tatiana (50%)]",0,[]
24147,BED,2003,Kooperatívna tvorba digitálnej knižnice UK TU Košice =, - 2003.,"[MAŤAŠOVSKÁ TETŘEVOVÁ, Milena (50%) - MAŤAŠOVSKÝ, Žigmund (50%)]",0,[]
36969,BED,2003,Etické dimenzie tolerancie a intolerancie v integračných procesoch Európy, - 2003.,"[AGAFONOVÁ, Mária]",0,[]
30026,BED,2004,Integrácia univerzitných informačných systémov z pohľadu podsystému pre pedagogiku, - 2004.,"[JANOČKOVÁ, Gabriela (25%) - ROHÁČ, Zdenko (25%) - TÓTHOVÁ, Helena (25%) - HAVLICE, Zdeněk (25%)]",0,[]
36894,BED,2004,Measuring spatial imagination by means of psychological test, - 2004.,"[ZVARIKOVÁ, Mária]",1,[]
36973,BED,2004,Škola ako miesto komunikácie v dialógu kultúr zjednocujúcej sa Európy, - 2004.,"[AGAFONOVÁ, Mária (50%) - MELKUSOVÁ, Helena (50%)]",2,"['2009  [4] RAČKOVÁ, M.: Rozvoj kreatívnych schopností študentov technického univerzitného štúdia. In: Schola 2009 : inovácie vo výchove a vzdelávaní inžinierov : 9. medzinárodná vedecká konferencia : Trnava, 3. - 4. decembra 2009. Trnava : MTF STU, 2009. S. 369-373. ISBN 978-80-8096-106-0.', '2009  [3] RAČKOVÁ, M., POMFFYOVÁ, M.: Interkultúrna komunikácia a interkultúrna výchova. In: Pomáhajíci profese v reflexi aktuálnich společenských proměn : Sborník příspěvkú z konference se zahraniční účastí konané u příležitosti životního jubilea Prof. PhDr. Zdeňka Koláře, DrSc. Ústí nad Labem : PF UJEP, 2009. P. 169-176. ISBN 978-80-7414-123-2.']"
46981,BED,2004,Organizačná kultúra univerzity, - 2004.,"[RÁC, Igor (100%)]",0,[]
48744,BED,2004,Záťažové situácie v práci vysokoškolských učiteľov, - 2004. - 1 elektronický optický disk (CD-ROM).,"[ZVARIKOVÁ, Mária (100%)]",1,"['2011  [4] KRAVČÁKOVÁ, Gabriela - LUKÁČOVÁ, Jana - BÚGELOVÁ, Taťjana Práca a kariéra vysokoškolského učiteľa In: Práca a kariéra vysokoškolského učiteľa 323 s ISBN: 978-80-7097-927-3']"
67314,BED,2004,Vývoj študijných materiálov a testovanie dištančného kurzu angličtiny špecializovaného na agroturistiku, - 2004.,"[NEMČOKOVÁ, Viera (80%) - KOMOROVÁ, Ľudmila (20%)]",0,[]
40935,BED,2005,IS pre komplexnú podporu univerzitných pedagogických procesov, - 2005.,"[HAVLICE, Zdeněk (25%) - TELEPOVSKÁ, Henrieta (25%) - JANOČKOVÁ, Gabriela (25%) - GALKO, Juraj (25%)]",0,[]
56961,BED,2006,Infraštruktúra verejného kľúča (PKI) a jej aplikácie v prostredí vysokej školy, - 2006.,"[BUCKO, Jozef - MIHÓK, Peter - MANN, Peter - ŠKRIPECKÝ, Marián]",0,[]
58014,BED,2006,Význam vzdelávania pri formovaní životného štýlu obyvateľov EÚ v globalizujúcej sa spoločnosti., - 2006.,"[MELKUSOVÁ, Helena (50%) - AGAFONOVÁ, Mária (50%)]",0,[]
58325,BED,2006,Tolerancia a súčasnosť, - 2006.,"[AGAFONOVÁ, Mária (100%)]",0,[]
62204,BED,2007,Utilization of videoconferences in educational environment, - 2007.,"[BIŇAS, Miroslav (25%) - ADAMUŠČÍNOVÁ, Iveta (25%) - JAKAB, František (25%) - MICHALKO, Miroslav (25%)]",0,[]
62207,BED,2007,Flash and mobile solutions for video streaming platform, - 2007.,"[MICHALKO, Miroslav (25%) - JAKAB, František (25%) - BIŇAS, Miroslav (25%) - BAČA, Ján (25%)]",0,[]
63551,BED,2007,"Celoživotné poradenstvo a školy, učiteľ :", - 2007.,"[ZVARIKOVÁ, Mária (75%) - HREHOVÁ, Daniela (25%)]",0,[]
66764,BED,2007,Pätnásť rokov Katedry inžinierskej pedagogiky na Technickej univerzite v Košiciach, - 2007.,"[ZEĽOVÁ, Alena (100%)]",0,[]
67233,BED,2007,Výchova je nevyhmutnou súčasťou života, - 2007.,"[ŠVECOVÁ, Valéria (100%)]",0,[]
67553,BED,2007,Učiteľské kompetencie pre kvalitu výučby, - 2007.,"[BLAŠKO, Michal (100%)]",0,[]
72553,BED,2007,Hľadanie hodnôt v konzumnej spoločnosti, - 2007.,"[PEŠEKOVÁ, Mária (100%)]",0,[]
75847,BED,2008,Streaming of multimedia to mobile and desktop users using Videoserver platform, - 2008.,"[MICHALKO, Miroslav (90%) - SIDIMÁK, Vladimír (10%)]",0,[]
87203,BED,2008,Ekologická kríza - etický a politický problém 21.storočia =, - 2008.,"[DŽUPKOVÁ, Helena (100%)]",0,[]
104458,BED,2009,Metodické aspekty tvorby učebných materiálov pre dištančné vzdelávanie v oblasti cudzích jazykov, - 2009. - 1 elektronický optický disk (CD-ROM).,"[KNUTOVÁ, Gabriela (34%) - VEŠKRNOVÁ, Alžbeta (33%) - CZÉREOVÁ, Beáta (33%)]",0,[]
86181,BED,2009,Trends towards the globalisation of english, - 2009.,"[PETRIKOVÁ, Ľudmila (50%) - SEMANOVÁ, Hedviga (50%)]",0,[]
88946,BED,2009,Sloboda a zodpovednosť =, - 2009.,"[DŽUPKOVÁ, Helena (100%)]",0,[]
88961,BED,2009,Reflexia globalizácie a jej konzekvencií v humanitnom vzdelávaní na technických univerzitách, - 2009.,"[AGAFONOVÁ, Mária (50%) - MELKUSOVÁ, Helena (50%)]",0,[]
104395,BED,2010,Vplyv rozvoja interkultúrnych vzťahov na terminológiu cestovného ruchu, - 2010. - 1 elektronický optický disk (CD-ROM).,"[SMREKOVÁ, Janka (100%)]",0,[]
104480,BED,2010,Špecifiká pedagogickej komunikácie v dištančnom vzdelávaní cudzích jazykov, - 2010.,"[KNUTOVÁ, Gabriela (33%) - VEŠKRNOVÁ, Alžbeta (33%) - SMREKOVÁ, Janka (33%)]",0,[]
110907,BED,2011,Výučba cudzích jazykov na KJ TUKE – od tradičnej až po blended-learning, - 2011. - 1 elektronický optický disk (CD-ROM).,"[BRŐSTLOVÁ, Ernestína (30%) - MIHOKOVÁ, Kristína (40%) - PAVLOVOVÁ, Janka (30%)]",0,[]
77377,BEE,2007,National report for the Slovak republic, - 2007.,"[ZVARIKOVÁ, Mária (80%) - SOROKOVÁ, Tatiana (20%)]",0,[]
104514,BEE,2009,Ako motivovať študentov softvérového inžinierstva, - 2009. - 1 elektronický optický disk (CD-ROM).,"[BIŇAS, Miroslav (80%) - NOVÁK, Marek (10%) - MICHALKO, Miroslav (5%) - JAKAB, František (5%)]",0,[]
148880,BEE,2013,Paralleltexte als Sprachkorpora, - 2013.,"[MIHÓKOVÁ, Kristína (100%)]",0,[]
166804,BEE,2015,Survey of the Issues Surrounding Network Traffic Monitoring, - 2015.,"[PEKÁR, Adrián (70%) - CHOVANEC, Martin (30%)]",0,[]
166810,BEE,2015,Reducing Time-Related Demands of Flow-Based Network Monitoring Tools Emerging During Data Processing, - 2015.,"[PEKÁR, Adrián (70%) - CHOVANEC, Martin (30%)]",0,[]
167565,BEE,2015,The self-esteem as a key aspect of the self. The self and object of the reflection and personal identity, - 2015.,"[RAČKOVÁ, Mariana (50%) - TKÁČOVÁ, Renáta (50%)]",1,"['2018  [4] KRELOVÁ, Tatiana Miesto rodiny v prevencii sociálnej patológie In: Osobnostný a sociálny rozvoj ako základ efektívnej prevencie v škole : vedecký zborník recenzovaných štúdií s medzinárodnou účasťou S. 33-38 ISBN: 978-80-553-3203-1']"
193348,BEE,2018,Schodstva i različija predložno-padežnoj sistemy delovovo russkovo i slovackovo jazykov, - 2018.,"[ALIEVA, Lenka (100%)]",0,[]
194172,BEE,2018,Flipped classroom approach in ESP teaching, - 2018.,"[KOŽARÍKOVÁ, Henrieta (50%) - VRÁŽELOVÁ, Viktória (50%)]",0,[]
196422,BEE,2018,Možnosti náboženskej komunikácie v prostredí chasidov, - 2018.,"[MIČKO, Ján (100%)]",0,[]
132764,BEF,1996,Podiel PPP pri výbere talentovaných žiakov do 8-ročných gymnázií, - 1996.,"[JENČOVÁ, Anna (90%) - IHNACÍK, Jozef (10%)]",0,[]
0016091,BEF,1999,"Skúsenosti s ""prácou s ľuďmi"" nie sú vždy aj kvalifikáciou pre personalistiku", - 1999.,"[RÁC, Igor]",0,[]
43892,BEF,1999,Rozvoj koordinačných schopností v telesnej príprave letcov, - 1999.,"[LIPTÁK, Rastislav (100%)]",0,[]
0015720,BEF,2000,Skúsenosti a poznatky z výučby etiky na Technickej univerzite v Košiciach k téme manželstvo a rodina, - 2000.,"[HREHOVÁ, Daniela (100%)]",0,[]
43895,BEF,2000,Vytrvalosť ako zložka pohybových schopností a jej úroveň u študentov VLA, - 2000.,"[LIPTÁK, Rastislav (100%)]",0,[]
0011641,BEF,2001,Interaktívne dištančné vzdelávanie, - 2001.,"[TETŘEVOVÁ, Milena - ŽÍHLAVNÍKOVÁ, Elena]",0,[]
182108,BEF,2002,Závery zo základného výskumu úrovne výučby anglického jazyka na stredných odborných školách a stredných odborných učilištiach, - 2002.,"[CZÉREOVÁ, Beáta (50%) - TIMKOVÁ, Renáta (50%)]",0,[]
182110,BEF,2002,Názory učiteľov angličtiny na vyučovanie anglického jazyka ako cudzieho jazyka na SOŠ a SOU podľa otestovanej  a štatisticky spracovanej vzorky v Slovenskej republike, - 2002.,"[CZÉREOVÁ, Beáta (33%) - RUSKOVÁ, Dagmar (34%) - TIMKOVÁ, Renáta (33%)]",0,[]
21999,BEF,2003,Kooperatívna tvorba digitálnej knižnice v akademickom prostredí na podporu vzdelávania a výskumu., - 2003.,"[TETŘEVOVÁ, Milena (50%) - MAŤAŠOVSKÝ, Žigmund (50%)]",0,[]
30833,BEF,2004,Zavedenie elektronického podpisu na TU v Košiciach =, - 2004.,"[MAŤAŠOVSKÝ, Žigmund (60%) - MAŤAŠOVSKÁ TETŘEVOVÁ, Milena (40%)]",0,[]
30837,BEF,2004,Elektronické diplomové a dizertačné práce na Technickej univerzite v Košiciach =, - 2004.,"[MAŤAŠOVSKÁ TETŘEVOVÁ, Milena (70%) - MAŤAŠOVSKÝ, Žigmund (30%)]",0,[]
30838,BEF,2004,ETD.SK - Projekt budovania digitálnych akademických knižníc SR, - 2004.,"[HAĽKO, Peter - MAŤAŠOVSKÁ TETŘEVOVÁ, Milena - MAŤAŠOVSKÝ, Žigmund]",0,[]
84094,BEF,2006,Kľúčové kompetencie a poradenské služby pre žiakov základnej školy vo svete práce, - 2006.,"[ZVARIKOVÁ, Mária (100%)]",0,[]
62210,BEF,2007,Motivating primary schoolchildrens using latest multimedia technologies in education, - 2007.,"[MICHALKO, Miroslav (40%) - JAKAB, František (30%) - BIŇAS, Miroslav (30%)]",0,[]
62512,BEF,2007,The influence of mass media on sport, - 2007.,"[HLAVÁČOVÁ, Darina (100%)]",0,[]
72816,BEF,2007,Kariérové vzdelávanie - skupinové programy, - 2007.,"[ZVARIKOVÁ, Mária (100%)]",0,[]
84093,BEF,2007,Skupinové formy kariérového poradenstva pre žiakov stredných škôl, - 2007.,"[ZVARIKOVÁ, Mária (100%)]",1,"['2012  [4] LEPEŇOVÁ, Darina, HARGAŠOVÁ, Marta Kariéra v meniacom sa svete In: Kariéra v meniacom sa svete 80 s ISBN: 978-80-8052-407-4']"
81966,BEF,2008,Rozvíjanie zručností potrebných pre úspešný prechod na trh práce, - 2008.,"[ZVARIKOVÁ, Mária (100%)]",0,[]
84601,BEF,2009,Výučba cudzích jazykov v študijnom odbore Geoturizmus, - 2009.,"[CHABOVÁ, Marcela (100%)]",0,[]
93841,BEF,2009,TOURNEU – Inovačný transfer v odbornom jazykovom vzdelávaní v cestovnom ruchu, - 2009.,"[SORGER, Roman (70%) - MIHÓKOVÁ, Kristína (30%)]",0,[]
138200,BEF,2011,Reziliencia v starostlivosti o duševné zdravie a v prevencii rizikového správania, - 2011.,"[JENČOVÁ, Anna (100%)]",0,[]
138202,BEF,2011,Psychologická starostlivosť pre deti a mládež so ŠVVP, - 2011.,"[JENČOVÁ, Anna (100%)]",0,[]
139770,BEF,2012,IPTV a možnosti jej ďalšieho rozvoja, - 2012.,"[JAKAB, František (30%) - MICHALKO, Miroslav (30%) - PLUČINSKÝ, Maroš (10%) - CYMBALÁK, Dávid (30%)]",0,[]
150991,BEF,2013,Rozšírenie aplikácie Kľúčový poriadok o mobilné riešenie na Technickej univerzite v Košiciach, - 2013.,"[SALANCI, Slavomír (60%) - VAJDA, Ľuboš (40%)]",0,[]
150728,BEF,2014,Univerzitný Vedecký Park TECHNICOM - Podpora Aplikovaného Výskumu, - 2014.,"[JAKAB, František (50%) - LAVRIN, Anton (50%)]",0,[]
158446,BEF,2015,Akcelerácia inovačného podnikania v univerzitnom prostredí, - 2015.,"[JAKAB, František (35%) - LAVRIN, Anton (35%) - DURKÁČOVÁ, Michaela (30%)]",0,[]
158690,BEF,2015,Inovácie vo vzdelávaní študentov neekonomických smerov so zameraním na rozvoj podnikateľských kompetencií, - 2015.,"[ROHÁČOVÁ, Tatiana (100%)]",0,[]
204808,BEF,2019,Prečo chodí zamestnávateľ s radosťou do zamestnania, - 2019.,"[JENČOVÁ, Anna (100%)]",0,[]
188444,BFA,2017,Vzdelávacie potreby vo vidieckom turizme, - 2017.,"[BRUTOVSKÁ, Gizela (100%)]",0,[]
202249,BFA,2018,Statistical analysis of the influence of traction exercises on postural parameter changes in university students, - 2018.,"[LIPTÁKOVÁ, Erika (20%) - BARCALOVÁ, Miroslava (20%) - BUKOVÁ, Alena (20%) - ŽIVČÁK, Jozef (10%) - ŠIMONEK, Jaromír (20%) - HARČARIK, Vladimír (10%)]",0,[]
121905,BFB,2012,"Predmet Tímová práca a jeho absolventi, študenti TUKE, z pohľadu Belbinovej typológie", - 2012.,"[ZVARIKOVÁ, Mária (100%)]",0,[]
151948,BFB,2014,Lexika v reči matky orientovanej na dieťa, - 2014.,"[BRESTOVIČOVÁ, Alexandra (100%)]",0,[]
162701,BFB,2015,Inováčny proces výučby politológie - občianska a intelektuálna príprava pre kreatívne podnikateľské prostredie, - 2015.,"[DŽUPKOVÁ, Helena (100%)]",0,[]
171318,BFB,2016,Fostering higher cognitive skills through instruction and assessment, - 2016.,"[WALKOVÁ, Milada (100%)]",0,[]
185787,BFB,2017,The power of mark in the plane of global value chain, - 2017.,"[SOROKOVÁ, Tatiana (50%) - PETRÍKOVÁ, Daniela (50%)]",0,[]
197853,BFB,2018,Participation of Slovakia in the global value chains in the automotive industry, - 2018.,"[SOROKOVÁ, Tatiana (50%) - PETRÍKOVÁ, Daniela (50%)]",0,[]
17749,CAB,2000,Slovensko v treťom tisícročí," - Slovenská Ľupča : AB ART press, - 2000. - 207 s.. - ISBN 80-88817-14-5.","[BÁRTA, Vladimír - BARTA, Vladimír - BARTA, Vladimír - SOKOLOVÁ, Viera - TEREMOVÁ, Marta - PAVLOVOVÁ, Janka - BAČÍKOVÁ, Alena - DVORSKÝ, Eduard - SLOBODNÍK, Milan]",0,[]
17826,CAB,2001,Spiš," - Slovenská Ľupča : AB ART press, - 2001. - 63 s.. - ISBN 80-88817-17-X.","[BÁRTA, Vladimír - BARTA, Vladimír - BARTA, Vladimír - RUSNÁK, Ernest - DUDÁŠOVÁ, Katarína - PAVLOVOVÁ, Janka - SEMANOVÁ, Hedviga - MARUŠIAKOVÁ, Danuta - POKORNÁ, Ľudmila]",0,[]
17830,CAB,2001,Tatry," - Banská Bystrica : AB ART press, - 2001. - 63 s.. - ISBN 80-88817-07-2.","[BÁRTA, Vladimír - BARTA, Vladimír - ŠTURCEL, Marián - DUDÁŠOVÁ, Katarína - PAVLOVOVÁ, Janka - SEMANOVÁ, Hedviga - MEYZA-MARUŠIAKOVÁ, Danuta - POKORNÁ, Ľudmila]",0,[]
17831,CAB,2001,Banská Bystrica," - Banská Bystrica : AB ART press, - 2001. - 63 s.. - ISBN 80-88817-11-0.","[BÁRTA, Vladimír - BÁRTA, Vladimír - BARTA, Vladimír - ŠOKA, Milan - PAVLOVOVÁ, Janka - DUDÁŠOVÁ, Katarína - SMREKOVÁ, Janka - SEMANOVÁ, Hedviga - POKORNÁ, Ľudmila]",0,[]
18000,CAB,2001,Tatry čarovné, - Slovenská Ľupča : AB ART press - 2001. - 143 s.. - ISBN 80-88817-05-6.,"[BÁRTA, Vladimír - ŠTURCEL, Marián - DUDÁŠOVÁ, Katarína - PAVLOVOVÁ, Janka - MARUŠIAKOVÁ, Danuta - SEMANOVÁ, Hedviga - POKORNÁ, Ľudmila]",0,[]
17926,CAB,2002,Bratislava do vrecka, - Banská Bystrica : AB ART press - 2002. - 64 s.. - ISBN 80-88817-30-7.,"[BÁRTA, Vladimír - BÁRTA, Vladimír - BARTA, Vladimír - DUDÁŠOVÁ, Katarína - PAVLOVOVÁ, Janka - SEMANOVÁ, Hedviga - MARUŠIAKOVÁ, Danuta - POKORNÁ, Ľudmila]",0,[]
17927,CAB,2002,Slovensko do vrecka, - Banská Bystrica : AB ART - 2002. - 60 s.. - ISBN 80-88817-26-9.,"[BÁRTA, Vladimír - BÁRTA, Vladimír - BÁRTA, Vladimír - BARTA, Vladimír - DUDÁŠOVÁ, Katarína - PAVLOVOVÁ, Janka - SEMANOVÁ, Hedviga - MARUŠIAKOVÁ, Danuta - POKORNÁ, Ľudmila]",0,[]
18001,CAB,2002,"Hrady, zámky, kaštiele", - Banská Bystrica : AB ART - 2002. - 117 s.. - ISBN 80-88817-24-2.,"[BÁRTA, Vladimír - LIPTAY, Jaroslav - BARTA, Vladimír - BARTA, Vladimír - DUDÁŠOVÁ, Katarína - PAVLOVOVÁ, Janka - SEMANOVÁ, Hedviga - MARUŠIAKOVÁ, Danuta]",0,[]
18002,CAB,2002,Bratislava - Slovensko," - Slovenská Ľupča : AB ART press, - 2002. - [62] s.. - ISBN 80-88817-22-6.","[BÁRTA, Vlado - BARTA, Vlado - PAVLOVOVÁ, Janka]",0,[]
191028,CAB,2013,Laterna magica, - 1. vyd - Košice : Spolok slovenských Spisovateľov - 2013. - 133 s. - ISBN 978-80-8061-741-7.,"[MIČKO, Ján (100%)]",0,[]
191135,CDF,2012,Nedeľná tvár, - Prešov : Michal Vaško - 2012.,"[MIČKO, Ján (100%)]",0,[]
191250,CDF,2012,Šabat, - Prešov : Michal Vaško - 2012.,"[MIČKO, Ján (100%)]",0,[]
206234,CDF,2019,Asébia, - 2019.,"[MIČKO, Ján (100%)]",0,[]
93856,CED,1978,Slovensko-nemecký slovník z knihovníckej terminológie : 1. časť, - 1978 - Košice : ŠVK - 1978. - 35 s.,"[MIHÓKOVÁ, Kristína (100%)]",0,[]
192526,CED,2013,Pavúk a Angelika, - 2013.,"[MIČKO, Ján (100%)]",0,[]
192529,CED,2014,"Veľká Domaša, mítico país", - 2014. - 2 s.,"[MIČKO, Ján (100%)]",0,[]
189314,CED,2017,Zložitosť sna, - 2017.,"[MIČKO, Ján (100%)]",0,[]
BPČ/4552,DAI,1978,Dynamické sily a vplyv hmotnosti na zabezpečovacie zariadenia zdvíhacích strojov, - Košice : SjF VŠT - 1978.,"[SINAY, Juraj (100%)]",0,[]
BPČ/4569,DAI,1991,Beitrag zur Qualifizierung und Quantifizierung von Risiko Faktoren in der Fördertechnik dargestellt am Beispiel von Hebezeugen, - Wuppertal : BU - 1991. - 301 p.,"[SINAY, Juraj (100%)]",0,[]
BPČ/4438,DAI,1992,Stable manifolds and basins in the control of sequential and chaotic circuits," - Košice : TU, - 1992. - 85 s..","[PIVKA, Ladislav]",0,[]
BPČ/6567,DAI,1994,"Identifikácia, ovládanie a prognózovanie technických rizík dopravných strojov a systémov", - Košice : SjF TU - 1994. - neuved.,"[SINAY, Juraj (100%)]",0,[]
0016090,DAI,1996,Tvorenie termínov vo výpočtovej technike :," - Bratislava, : - 1996. - 99 s..","[NEMČOKOVÁ, Viera - KOČIŠ, František]",0,[]
0016174,DAI,2002,Kombinovaná metodika určenia polí deformácií a napätí s využitím metódy photostress a metódy odvrtávania :," - Košice, : - 2002. - 126 s, [7] s príl +.","[KOČAN, Jozef - TREBUŇA, František]",0,[]
25100,DAI,2003,Metódy a prostriedky podporujúce hodnotenie rozvoja elektronického obchodu v prvovýrobnej organizácii :," - Košice, : - 2003. - 140 s..","[DELINA, Radoslav - LAVRIN, Anton]",0,[]
44023,DAI,2003,Ekonomická efektívnosť využitia veternej energie v podmienkach SR s dôrazom na Košice a okolie, - Košice : TU - 2003. - 140 s..,"[FISCHER, Gabriel (100%) - RYBÁR, Pavol]",0,[]
48335,DAI,2004,Onomaziologická konfrontácia slovenskej a nemeckej technickej terminológie :," - Prešov, : - 2004. - 123 s.","[SORGER, Roman]",0,[]
71937,DAI,2004,Zdravotný stav a jeho stanovenie v smrekových porastoch imisne poškodených na príklade stredného Spiša," - Košice, : - 2004. - 132 s.","[BILÁ, Anna (100%) - NOVOTNÝ, Július]",0,[]
66518,DAI,2006,Rizikové správanie a zmysluplnosť života vysokoškolákov :," - Bratislava : UK, - 2006. - 138 s.","[RAČKOVÁ, Mariana (100%) - ZELINA, Miron]",2,[]
179430,DAI,2007,Aktuálne formy hospodárskej trestnej činnosti," - Košice : UPJŠ, Právnická fakulta - 2007. - 88 s..","[MAZUROVÁ, Helena (100%)]",0,[]
109982,DAI,2011,Konfrontačný onomaziologicko-semaziologický opis odborného názvoslovia techniky ochrany životného prostredia," - Prešov : PU, Filozofická fakulta - 2011. - 162 s..","[SORGER, Roman (100%)]",0,[]
132899,DAI,2011,Reziliencia a školské správanie žiakov, - Nitra : UKF - 2011. - 141 s..,"[JENČOVÁ, Anna (100%)]",0,[]
179422,DAI,2016,Právo a jazyk: osobitosti právneho textu, - Košice : Právnická fakulta UPJŠ - 2016. - 194 s..,"[MAZUROVÁ, Helena (100%)]",0,[]
192502,DAI,2017,Vplyv pohybových programov na telesnú kompozíciu a  funkčné ukazovatele vysokoškolákov, - Prešov : PU - 2017. - 125 s.,"[VOJTAŠKO, Ľuboš (100%)]",0,[]
29233,EAI,2003,Miestna Agenda 21 obce Vinné, - 1. vyd - Košice : TU - 2003. - 70 s. - ISBN 80-8073-066-0.,"[HUDEC, Oto (34%) - BILÁ, Anna (33%) - KMECOVÁ, Zuzana (33%)]",0,[]
17804,EAJ,1995,Banské lampy :, - 1. vyd. - Košice : Vizual - 1995. - 123 s.. - ISBN 80-88674-19-0.,"[MAGULA, Rudolf - TURČAN, Tibor - PAVLOVOVÁ, Janka]",0,[]
17803,EAJ,2002,Kodex des Stadt- und Bergrechtes von Schemnitz, - 1. vyd. - Košice : Banská agentúra - 2002. - 71 s.. - ISBN 80-968621-2-X.,"[TURČAN, Tibor - PAVLOVOVÁ, Janka]",0,[]
0015025,EDI,1998,Effective presentations, - 1998.,"[KNUTOVÁ, Gabriela - YEO, Serena]",0,[]
72713,EDI,2006,Verejná politika súčasnosti, - 2006.,"[DŽUPKOVÁ, Helena (100%)]",0,[]
191010,EDI,2007,Saligia, - 2007.,"[MIČKO, Ján (100%)]",0,[]
191027,EDI,2007,Jašo Mazur, - 2007.,"[MIČKO, Ján (100%)]",0,[]
191064,EDI,2007,Žiť život v básni, - 2007.,"[MIČKO, Ján (100%)]",0,[]
124219,EDI,2008,On Conveying Strong Judgments in Conversational English (Book Review), - 2008.,"[WALKOVÁ, Milada (100%)]",0,[]
87704,EDI,2008,"Viera Bilasová, Výzvy pre etiku v súčasnosti", - 2008.,"[DŽUPKOVÁ, Helena (100%)]",0,[]
111020,EDI,2011,Zuzana Ondráčková : Komparatívny výskum detskej lexiky : Detské slovo pod lupou, - 2011.,"[BRESTOVIČOVÁ, Alexandra (100%)]",0,[]
127096,EDI,2012,Recenzia: Akademická angličtina, - 2012.,"[KAŠČÁKOVÁ, Eva (100%)]",0,[]
139239,EDI,2013,"Bilasová Viera: Étos, dejiny a súčasnosť", - 2013.,"[DŽUPKOVÁ, Helena (100%)]",0,[]
139931,EDI,2013,Vedecké písanie, - 2013.,"[WALKOVÁ, Milada (100%)]",0,[]
143668,EDI,2013,Štúdia vplyvu prefixácie na intenciu, - 2013.,"[WALKOVÁ, Milada (100%)]",0,[]
151957,EDI,2014,"Rachmanova, L.I. - Suzdaľceva, V.N.: Sovremennyj russkij jazyk. Leksika. Frazeologija. Morfologija", - 2014.,"[VRÁŽELOVÁ, Viktória (100%)]",0,[]
169425,EDI,2015,Nemecký technický jazyk v mechanike poddajných telies, - 2015.,"[SORGER, Roman (100%)]",0,[]
172817,EDI,2016,Opäť je reč o reči, - 2016.,"[BRESTOVIČOVÁ, Alexandra (100%)]",0,[]
